year,category,winner,song
2020,Top Duo/Group,Jonas Brothers,
2020,Billboard Chart Achievement Award,Harry Styles,
2020,Top Rap Artist,Post Malone,
2020,Top New Artist,Billie Eilish,
2020,Top R&B Tour,Khalid,
2020,Top Artist,Post Malone,
2020,Top R&B Female Artist,Summer Walker,
2020,Top Female Artist,Billie Eilish,
2020,Top Rap Female Artist,Cardi B,
2020,Top Radio Song,Jonas Brothers “Sucker”,Sucker
2020,Top Rock Artist,Panic! At The Disco,
2020,Top Gospel Artist,Kanye West,
2020,Top Christian Artist,Lauren Daigle,
2020,Top Latin Artist,Bad Bunny,
2020,Top Dance/Electronic Artist,The Chainsmokers,
2020,Top Country Song,"Dan + Shay with Justin Bieber “10,000 Hours”","10,000 Hours"
2020,Top Rap Song,Lil Nas X ft. Billy Ray Cyrus “Old Town Road”,Old Town Road
2020,Top R&B Song,Khalid “Talk”,Talk
2020,Top Collaboration,Shawn Mendes & Camila Cabello “Señorita”,Señorita
2020,Top Rock Song,"Panic! At The Disco “Hey Look Ma, I Made It”","Hey Look Ma, I Made It"
2021,Top Gospel Song,Kanye West ft. Travis Scott “Wash Us In The Blood”,Wash Us In The Blood
2021,Top Dance/Electronic Song,SAINt JHN “Roses (Imanbek Remix)”,Roses (Imanbek Remix)
2021,Top Christian Song,Elevation Worship ft. Brandon Lake “Graves Into Gardens”,Graves Into Gardens
2021,Top Rock Song,AJR “Bang!”,Bang!
2021,Top Country Song,Gabby Barrett “I Hope”,I Hope
2021,Top R&B Female Artist,Doja Cat,
2021,ICON Award,P!NK,
2021,Top Rock Album,Machine Gun Kelly “Tickets to My Downfall”,Tickets to My Downfall
2021,Top R&B Album,The Weeknd “After Hours”,After Hours
2021,Top Billboard 200 Album,"Pop Smoke “Shoot for the Stars, Aim for the Moon”","Shoot for the Stars, Aim for the Moon"
2021,Top Latin Song,Bad Bunny & Jhay Cortez “Dákiti”,Dákiti
2021,Top Rap Album,"Pop Smoke “Shoot for the Stars, Aim for the Moon”","Shoot for the Stars, Aim for the Moon"
2021,Top Latin Album,Bad Bunny “YHLQMDLG”,YHLQMDLG
2021,Top Radio Songs Artist,The Weeknd,
2021,Top Country Album,Morgan Wallen “Dangerous: The Double Album”,Dangerous: The Double Album
2021,Top R&B Artist,The Weeknd,
2021,Top Social Artist,BTS,
2021,Top R&B Male Artist,The Weeknd,
2021,Top Rap Female Artist,Megan Thee Stallion,
2021,Top Artist,The Weeknd,
2021,Top Rap Male Artist,Pop Smoke,
2021,Top Rap Artist,Pop Smoke,
2021,Top Gospel Artist,Kanye West,
2021,Top Latin Artist,Bad Bunny,
2021,Top Hot 100 Song,The Weeknd “Blinding Lights”,Blinding Lights
2021,Top Latin Male Artist,Bad Bunny,
2021,Top Streaming Song,DaBaby ft. Roddy Ricch “ROCKSTAR”,ROCKSTAR
2021,Top Latin Female Artist,KAROL g,
2021,Top Latin Duo/Group,Eslabon Armado,
2021,Top Dance/Electronic Artist,Lady Gaga,
2021,Top Christian Artist,Elevation Worship,
2021,Top Male Artist,The Weeknd,
2021,Top Country Artist,Morgan Wallen,
2021,Top New Artist,Pop Smoke,
2021,Top Billboard 200 Artist,Taylor Swift,
2021,Top Duo/Group,BTS,
2021,Top Country Female Artist,Gabby Barrett,
2021,Top Female Artist,Taylor Swift,
2021,Top Country Male Artist,Morgan Wallen,
2021,Top Song Sales Artist,BTS,
2021,Top Streaming Songs Artist,Drake,
2021,Top Hot 100 Artist,The Weeknd,
2021,Top Dance/Electronic Album,Lady Gaga “Chromatica”,Chromatica
2021,Top Country Duo/Group,Florida Georgia Line,
2021,Top Christian Album,Carrie Underwood “My Gift”,My Gift
2021,Top Rock Artist,Machine Gun Kelly,
2021,Top Gospel Album,Maverick City Music “Maverick City Vol. 3 Part 1”,Maverick City Vol. 3 Part 1
2021,Top Selling Song,BTS “Dynamite”,Dynamite
2021,Top Radio Songs Artist,The Weeknd “Blinding Lights”,Blinding Lights
2021,Top Collaboration,Gabby Barrett ft. Charlie Puth “I Hope”,I Hope
2021,Top R&B Song,The Weeknd “Blinding Lights”,Blinding Lights
2021,Top Rap Song,DaBaby ft. Roddy Ricch “ROCKSTAR”,ROCKSTAR
2022,Top Billboard Global 200 Song,The Kid LAROI & Justin Bieber “STAY”,STAY
2022,Top Billboard Global (Excl. U.S.) Song,The Kid LAROI & Justin Bieber “STAY”,STAY
2022,Top Rap Album,Drake “Certified Lover Boy”,Certified Lover Boy
2022,Top Latin Artist,Bad Bunny,
2022,Top Latin Male Artist,Bad Bunny,
2022,Top Collaboration,The Kid LAROI & Justin Bieber “STAY”,STAY
2022,Top Radio Song,Dua Lipa “Levitating”,Levitating
2022,Top Viral Song,Doja Cat ft. SZA “Kiss Me More”,Kiss Me More
2022,Top R&B Song,"Silk Sonic (Bruno Mars, Anderson .Paak) “Leave The Door Open”",Leave The Door Open
2022,Top Country Female Artist,Taylor Swift,
2022,ICON Award,Mary J. Blige,
2022,Top Rock Song,Måneskin “Beggin’”,Beggin’
2022,Top Latin Album,KAROL G “KG0516”,KG0516
2022,Top Latin Song,Kali Uchis “telepatía”,telepatía
2022,Top Dance/Electronic Album,ILLENIUM “Fallen Embers”,Fallen Embers
2022,Top Dance/Electronic Song,Elton John & Dua Lipa “Cold Heart – PNAU Remix”,Cold Heart – PNAU Remix
2022,Top Christian Album,Ye “Donda”,Donda
2022,Top Christian Song,Ye “Hurricane”,Hurricane
2022,Top Gospel Album,Ye “Donda”,Donda
2022,Top Gospel Song,Ye “Hurricane”,Hurricane
2022,Top Hot 100 Song,The Kid LAROI & Justin Bieber “STAY”,STAY
2022,Top Streaming Song,The Kid LAROI & Justin Bieber “STAY”,STAY
2022,Top Selling Song,BTS “Butter”,Butter
2022,Top Rap Song,Lil Nas X ft. Jack Harlow “INDUSTRY BABY”,INDUSTRY BABY
2022,Top Country Album,Taylor Swift “Red (Taylor’s Version),
2022,Top Country Song,Walker Hayes “Fancy Like”,Fancy Like
2022,Top Rock Album,twenty one pilots “Scaled And Icy”,Scaled And Icy
2022,Top Radio Songs Artist,Olivia Rodrigo,
2022,Top Billboard Global Artist,Olivia Rodrigo,
2022,Top Billboard Global (Excl. U.S.) Artist,Ed Sheeran,
2022,Top Tour,The Rolling Stones (No Filter Tour),
2022,Top Country Male Artist,Morgan Wallen,
2022,Top R&B Album,Doja Cat “Planet Her”,Planet Her
2022,Top Streaming Songs Artist,Olivia Rodrigo,
2022,Top Song Sales Artist,BTS,
2022,Top Soundtrack,Encanto,
2022,Top Country Artist,Taylor Swift,
2022,Top Billboard 200 Album,Olivia Rodrigo “SOUR”,SOUR
2022,Top Rap Tour,Omarion & Bow Wow (The Millennium Tour 2021),
2022,Top Latin Tour,Los Bukis (Una Historia Cantada Tour),
2022,Top Dance/Electronic Artist,Lady Gaga,
2022,Top Christian Artist,Ye,
2022,Top Gospel Artist,Ye,
2022,Top Rock Tour,The Rolling Stones (No Filter Tour),
2022,Top Rock Artist,Glass Animals,
2022,Top Country Tour,Eric Church (Gather Again Tour),
2022,Top Country Duo/Group,Dan. + Shay,
2022,Top Latin Duo/Group,Eslabon Armado,
2022,Top Latin Female Artist,Kali Uchis,
2022,Top R&B Artist,Doja Cat,
2022,Top R&B Male Artist,The Weeknd,
2022,Top Rap Artist,Drake,
2022,Top Male Artist,Drake,
2022,Top Rap Male Artist,Drake,
2022,Top Female Artist,Olivia Rodrigo,
2022,Top R&B Female Artist,Doja Cat,
2022,Top Artist,Drake,
2022,Top R&B Tour,Bruno Mars (Bruno Mars at Park MGM),
2022,Top New Artist,Olivia Rodrigo,
2022,Top Hot 100 Artist,Olivia Rodrigo,
2022,Top Billboard 200 Artist,Taylor Swift,
2022,Top Duo/Group,BTS,
2022,Top Rap Female Artist,Megan Thee Stallion,
